ticket_id,team,created_at,responded_at,customer_message,priority,category
T001,Team A,2024-01-01 09:00:00,2024-01-01 09:15:00,"I can't access my account",High,Technical
T002,Team B,2024-01-01 09:30:00,2024-01-01 10:45:00,"Billing question about my subscription",Medium,Billing
T003,Team A,2024-01-01 10:00:00,2024-01-01 10:20:00,"Password reset request",Low,Technical
T004,Team C,2024-01-01 10:30:00,2024-01-01 11:00:00,"Product feature request",Medium,Feature
T005,Team B,2024-01-01 11:00:00,2024-01-01 12:30:00,"Refund request",High,Billing
T006,Team A,2024-01-01 11:30:00,2024-01-01 11:45:00,"Login issues",Medium,Technical
T007,Team C,2024-01-01 12:00:00,2024-01-01 13:15:00,"Account setup help",Low,Onboarding
T008,Team B,2024-01-01 12:30:00,2024-01-01 13:00:00,"Payment method update",Medium,Billing
T009,Team A,2024-01-01 13:00:00,2024-01-01 13:30:00,"App not working properly",High,Technical
T010,Team C,2024-01-01 13:30:00,2024-01-01 14:45:00,"How to use advanced features",Low,Support
T011,Team B,2024-01-01 14:00:00,2024-01-01 15:30:00,"Subscription cancellation",High,Billing
T012,Team A,2024-01-01 14:30:00,2024-01-01 14:45:00,"Two-factor authentication setup",Medium,Technical
T013,Team C,2024-01-01 15:00:00,2024-01-01 16:00:00,"Integration with other tools",Medium,Technical
T014,Team B,2024-01-01 15:30:00,2024-01-01 16:15:00,"Invoice download issue",Low,Billing
T015,Team A,2024-01-01 16:00:00,2024-01-01 16:30:00,"Performance problems",High,Technical
T016,Team C,2024-01-01 16:30:00,2024-01-01 17:45:00,"User training request",Low,Training
T017,Team B,2024-01-01 17:00:00,2024-01-01 18:30:00,"Pricing inquiry",Medium,Billing
T018,Team A,2024-01-01 17:30:00,2024-01-01 17:45:00,"Security concern",High,Security
T019,Team C,2024-01-01 18:00:00,2024-01-01 19:00:00,"Customization options",Medium,Feature
T020,Team B,2024-01-01 18:30:00,2024-01-01 19:15:00,"Payment failed",High,Billing
